produto,categoria,preco,km,data_coleta,marca
Honda CG 160,Moto,7637.49,54849,2026-02-23,Honda
Honda Biz,Moto,9467.64,101619,2026-02-23,Honda
Yamaha MT-03,Moto,11040.76,50355,2026-02-23,Yamaha
Yamaha Fazer 250,Moto,11999.9,70210,2026-02-23,Yamaha
Kawasaki Ninja 400,Moto,12561.54,95743,2026-02-23,Kawasaki
Honda CG 160,Moto,12630.39,34511,2026-02-23,Honda
Honda Biz,Moto,12943.69,10362,2026-02-23,Honda
Yamaha Fazer 250,Moto,13087.26,34667,2026-02-23,Yamaha
Yamaha Fazer 250,Moto,13309.57,52214,2026-02-23,Yamaha
BMW R1250 GS,Moto,13848.39,87218,2026-02-23,BMW
BMW R1250 GS,Moto,14320.18,127225,2026-02-23,BMW
Honda CG 160,Moto,15348.6,21976,2026-02-23,Honda
BMW R1250 GS,Moto,16369.35,17647,2026-02-23,BMW
BMW R1250 GS,Moto,16851.93,30410,2026-02-23,BMW
Honda Biz,Moto,17934.71,77599,2026-02-23,Honda
