produto,categoria,preco,km,data_coleta,marca
Chevrolet Onix,Carro,176157.16,69962,2026-02-23,Chevrolet
Hyundai HB20,Carro,168147.83,12431,2026-02-23,Hyundai
Hyundai HB20,Carro,161244.05,102183,2026-02-23,Hyundai
Toyota Corolla,Carro,154965.6,93093,2026-02-23,Toyota
VW Gol,Carro,153762.64,43771,2026-02-23,VW
Toyota Corolla,Carro,153580.48,61681,2026-02-23,Toyota
Toyota Corolla,Carro,144690.89,36193,2026-02-23,Toyota
Chevrolet Onix,Carro,143061.73,124614,2026-02-23,Chevrolet
Chevrolet Onix,Carro,136637.05,82690,2026-02-23,Chevrolet
Honda Civic,Carro,136584.89,52391,2026-02-23,Honda
Fiat Uno,Carro,134495.71,51610,2026-02-23,Fiat
Hyundai HB20,Carro,131348.33,3441,2026-02-23,Hyundai
Chevrolet Onix,Carro,127658.82,60347,2026-02-23,Chevrolet
Honda Civic,Carro,123075.65,96205,2026-02-23,Honda
Chevrolet Onix,Carro,121989.51,20568,2026-02-23,Chevrolet
